lat_present,long_present,long_clim,lat_clim,Annual_mean_temp,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmMo,MinTempColdMo,TempAnnRange,MeanTempWetQtr,MeanTempDryQtr,MeanTempWarmQtr,MeanTempColdQtr,AnnPercip,PercipWetMo,PercipDryMo,PercipSeasonality,PrecipWetQtr,PrecipDryQtr,PrecipWrmQtr,PrecipColdQtr,dist_clim_join,class
36.74297,126.583464,126.6042,36.72917,10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,2401.8921887791153,present
36.408825,126.853895,126.8542,36.39583,11.59383,10.061,28.02195,973.2212,28.9,-7.004,35.904,23.23733,-0.7139999,23.23733,-0.7139999,1277,296,27,82.58533,697,94,697,94,1445.2358764121925,present
34.690083,135.195511,135.1875,34.6875,15.76607,7.979762,26.54023,814.3849,31.47619,1.409524,30.06667,22.35794,6.014286,25.88492,6.014286,1328,214,37,49.53687,511,139,429,139,786.7511870112685,present
34.685381,135.124958,135.1042,34.6875,15.146,8.420667,27.26194,832.6071,31.272,0.384,30.888,21.99533,5.146,25.47533,5.146,1348,216,35,50.62211,519,134,447,134,1912.54050209694,present
34.668723,135.145654,135.1458,34.6875,15.3115,8.241,27.01967,823.9673,31.248,0.748,30.5,22.04267,5.428,25.54,5.428,1345,216,36,50.29088,518,136,442,136,2087.9498206631606,present
34.849541,136.542796,136.5625,34.85417,15.392,8.445333,27.93138,806.155,30.904,0.668,30.236,24.89267,5.720667,25.42067,5.720667,1803,259,46,50.56574,687,168,675,168,1870.2184255375612,present
40.822072,140.747365,140.7292,40.8125,10.399,7.89,24.95256,885.4821,27.42,-4.2,31.62,18.61467,8.000667,21.40133,-0.1959999,1272,142,70,22.86119,396,223,385,344,1862.6713960058223,present
35.09013613,129.0639496,129.0625,35.10417,14.41699,8.178846,26.78212,803.8795,29.16154,-1.376923,30.53846,23.68205,4.262821,24.11667,4.262821,1443,252,25,67.31554,702,108,658,108,1566.057982875576,present
36.734375,138.430345,138.4375,36.72917,9.123167,9.577,27.64723,930.5654,26.9,-7.74,34.64,20.366,-2.184,20.366,-2.184,1357,184,64,40.1103,521,210,521,210,861.1298387254512,present
35.744238,140.343082,140.3542,35.72917,14.79067,8.362,27.83622,771.8518,29.368,-0.672,30.04,21.922,5.302667,24.27133,5.302667,1423,195,51,39.39193,511,174,455,174,1953.007721787066,present
25.612098,91.897713,91.89583,25.60417,17.2675,8.358334,45.0827,382.3951,24.368,5.828,18.54,20.99933,11.702,20.99933,11.702,3604,845,12,99.34202,2156,48,2156,48,901.5468189736594,present
