Annual_mean_temp,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmMo,MinTempColdMo,TempAnnRange,MeanTempWetQtr,MeanTempDryQtr,MeanTempWarmQtr,MeanTempColdQtr,AnnPercip,PercipWetMo,PercipDryMo,PercipSeasonality,PrecipWetQtr,PrecipDryQtr,PrecipWrmQtr,PrecipColdQtr,class
16.46933,12.892,39.79995,743.7426,32.556,0.164,32.392,8.672,17.01467,25.49867,7.104667,1244,138,79,16.88745,376,248,311,340,1
16.437,11.55067,36.71074,751.8069,31.844,0.38,31.464,8.532,16.96533,25.49133,6.88,1323,144,87,15.27429,395,279,319,364,1
15.5145,11.91367,37.64905,747.9168,31.136,-0.508,31.644,7.562666,16.182,24.54,6.028,1424,158,96,16.09519,433,303,324,400,1
16.31467,11.64467,36.79432,755.1761,31.808,0.16,31.648,8.380667,16.83333,25.40933,6.720667,1351,147,89,15.05598,402,285,321,373,1
16.1155,12.06033,37.77826,752.781,31.784,-0.14,31.924,8.191334,16.666,25.17533,6.543334,1372,151,95,15.19123,415,294,319,381,1
17.70217,14.46833,43.1839,733.6433,34.204,0.7,33.504,9.988,18.29467,26.59467,8.468667,1147,117,65,18.02785,332,216,331,304,1
16.44867,12.784,39.43731,745.4875,32.528,0.112,32.416,8.644667,16.956,25.50133,7.043333,1250,138,80,16.44877,376,252,313,341,1
16.44867,12.784,39.43731,745.4875,32.528,0.112,32.416,8.644667,16.956,25.50133,7.043333,1250,138,80,16.44877,376,252,313,341,1
16.70383,12.77767,39.22899,751.6261,32.848,0.276,32.572,8.838,17.192,25.81533,7.206666,1258,139,82,15.91238,377,257,313,341,1
16.423,11.58467,36.90795,748.1262,31.808,0.42,31.388,8.544,16.96733,25.432,6.914,1322,144,87,15.26507,396,280,320,363,1
16.31633,12.11333,37.79276,755.2547,32.028,-0.024,32.052,8.37,16.85867,25.4,6.706667,1359,150,94,15.3116,411,291,317,377,1
16.431,11.47867,36.6356,748.601,31.76,0.428,31.332,8.562,16.982,25.436,6.902,1309,143,85,15.60213,392,276,318,359,1
16.233,11.434,36.52102,750.0999,31.572,0.264,31.308,8.352,16.76467,25.274,6.699333,1335,145,86,15.54269,397,277,320,370,1
15.94917,11.561,36.66434,755.8152,31.448,-0.084,31.532,7.996,16.49067,25.06533,6.356,1345,148,86,16.61438,402,271,320,375,1
16.24133,11.75133,37.14075,751.4434,31.752,0.112,31.64,8.356,16.77133,25.29267,6.698,1370,149,92,15.06153,409,291,322,379,1
15.5145,11.91367,37.64905,747.9168,31.136,-0.508,31.644,7.562666,16.182,24.54,6.028,1424,158,96,16.09519,433,303,324,400,1
16.573,12.78333,39.3818,748.3877,32.7,0.24,32.46,8.737333,17.066,25.64533,7.121333,1264,140,84,15.61001,379,260,311,343,1
16.437,11.55067,36.71074,751.8069,31.844,0.38,31.464,8.532,16.96533,25.49133,6.88,1323,144,87,15.27429,395,279,319,364,1
