Longitude,Latitude,Annual_mean_temp,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmMo,MinTempColdMo,TempAnnRange,MeanTempWetQtr,MeanTempDryQtr,MeanTempWarmQtr,MeanTempColdQtr,AnnPercip,PercipWetMo,PercipDryMo,PercipSeasonality,PrecipWetQtr,PrecipDryQtr,PrecipWrmQtr,PrecipColdQtr,level_0,index,class
97.5625,52.1041666666667,-6.12733364105225,14.4153327941895,28.7501659393311,1339.02514648438,18.8479995727539,-31.2919998168945,50.1399993896484,10.1473331451416,-19.8293342590332,10.1473331451416,-22.9266662597656,366,96,4,99.0622329711914,231,14,231,15,3781,3781,0
125.6875,52.1041666666667,-1.94283318519592,13.6436672210693,24.0154666900635,1642.13549804688,25.2040004730225,-31.6079998016357,56.8120002746582,17.300666809082,-22.8453330993652,17.300666809082,-22.8453330993652,507,127,5,97.9277648925781,313,18,313,18,3673,3673,0
93.47917,52.0625,-3.764167,13.79033,24.21226,1655.252,23.412,-33.544,56.956,14.746,-21.29133,14.746,-25.702,534,99,14,60.96853,255,51,255,64,3668,3668,0
103.3958,52.0625,-0.6493334,11.52867,25.37119,1276.587,21.796,-23.644,45.44,14.73,-14.16267,14.73,-16.72667,644,147,10,83.98109,360,39,360,41,3528,3528,0
56.6875,52.02083,3.544667,11.36867,25.14969,1297.518,26.816,-18.388,45.204,18.99133,-4.755333,18.99133,-12.43933,480,50,27,19.78742,141,88,141,110,2733,2733,0
66.02083,52.02083,2.749,11.80733,24.48232,1431.674,27.612,-20.616,48.228,19.68867,-13.55733,19.68867,-14.88667,285,39,11,32.4664,104,43,104,54,3685,3685,0
77.3125,52.02083,3.095333,12.47933,24.58497,1469.035,29.396,-21.364,50.76,20.572,-6.191333,20.572,-15.10067,280,50,8,45.47075,114,35,114,52,3906,3906,0
132.1875,52.02083,-5.8885,13.52433,22.29825,1740.83,23.272,-37.38,60.652,14.44867,-28.18667,14.44867,-28.18667,714,160,5,92.81253,419,21,419,21,2578,2578,0
60.97917,51.97917,2.074167,11.145,23.74915,1377.96,26.232,-20.696,46.928,18.35733,-13.938,18.35733,-14.93467,328,50,14,35.75105,124,49,124,59,3009,3009,0
79.4375,51.97917,3.001333,11.42333,23.80456,1396.202,27.724,-20.264,47.988,19.61467,-6.018667,19.61467,-14.24867,305,54,11,43.8041,124,45,124,54,3505,3505,0
110.9375,51.97917,-3.234167,15.413,27.06124,1520.625,23.996,-32.96,56.956,14.82133,-19.45333,14.82133,-22.84733,342,92,3,106.9666,228,10,228,14,3926,3926,0
122.3125,51.97917,-4.828834,15.30033,26.04755,1647.985,23.2,-35.54,58.74,14.49733,-25.88733,14.49733,-25.88733,504,132,4,104.9163,330,15,330,15,3430,3430,0
133.8958,51.97917,-6.441166,14.63167,24.53496,1651.88,22.28,-37.356,59.636,13.13733,-27.44133,13.13733,-27.44133,755,170,4,93.86383,437,19,437,19,3622,3622,0
58.10417,51.9375,3.147,10.442,23.3247,1328.895,26.604,-18.164,44.768,18.936,-11.88267,18.936,-13.092,378,51,21,32.07039,142,66,142,71,2196,2196,0
121.9792,51.9375,-4.514,14.80933,25.42113,1636.757,23.268,-34.988,58.256,14.63867,-25.52667,14.63867,-25.52667,486,129,3,106.305,321,13,321,13,3271,3271,0
88.22917,51.85417,0.0530001,11.058,26.18642,1174.897,21.848,-20.38,42.228,14.266,-12.41067,14.266,-14.66,645,104,15,60.70328,289,47,289,60,2295,2295,0
97.0625,51.85417,-5.972833,13.82167,25.55593,1536.223,19.896,-34.188,54.084,11.758,-21.88133,11.758,-25.852,335,85,4,95.38719,208,15,208,18,3937,3937,0
69.72917,51.8125,2.193833,11.079,23.15651,1421.429,26.904,-20.94,47.844,18.95733,-14.072,18.95733,-15.286,288,48,12,40.18141,112,42,112,48,2868,2868,0
81.4375,51.8125,2.8115,11.89767,25.18131,1369.833,27.1,-20.148,47.248,19.00133,-6.134,19.00133,-14.13467,398,64,16,37.43666,147,62,147,73,2440,2440,0
122.6875,51.8125,-6.0555,15.52233,26.64138,1613.958,21.984,-36.28,58.264,13.08467,-26.454,13.08467,-26.454,546,145,3,107.0468,362,12,362,12,3306,3306,0
136.1458,51.8125,-2.555,14.93133,24.55165,1686.455,25.108,-35.708,60.816,14.93333,-20.41733,16.69867,-24.93867,534,102,7,76.55112,277,29,268,31,4286,4286,0
94.14583,51.77083,-2.631166,13.04433,22.96053,1671.315,24.616,-32.196,56.812,16.20267,-20.33067,16.20267,-24.67933,378,77,8,71.36267,200,32,200,38,2709,2709,0
116.7708,51.77083,-3.659333,13.02267,24.2039,1527.893,21.936,-31.868,53.804,14.33333,-23.38867,14.33333,-23.38867,387,107,3,108.4158,261,12,261,12,3051,3051,0
130.3125,51.77083,-3.0785,15.831,24.47134,1811.137,26.752,-37.94,64.692,17.50533,-22.08467,17.50533,-26.812,610,133,6,89.35709,350,26,350,26,2499,2499,0
140.1042,51.72917,-0.7264999,10.71433,21.70475,1489.688,22.488,-26.876,49.364,15.59,-17.35267,16.33733,-20.03267,542,89,18,49.73666,227,60,206,69,3659,3659,0
103.3958,51.6875,-0.9785,12.52567,27.0136,1281.557,21.38,-24.988,46.368,14.304,-14.65667,14.304,-17.354,636,152,9,89.43436,368,34,368,37,3598,3598,0
61.5625,51.64583,2.290333,11.312,23.31986,1429.646,27.108,-21.4,48.508,19.10333,-14.35333,19.10333,-15.47667,298,42,12,33.16953,108,44,108,55,3805,3805,0
105.0208,51.64583,0.5836666,10.06333,24.26069,1098.396,19.74,-21.74,41.48,13.61467,-13.19,13.61467,-13.19,390,97,5,95.50967,239,19,239,19,2537,2537,0
57.85417,51.60417,2.738,10.582,23.70307,1326.052,26.052,-18.592,44.644,18.51667,-12.33933,18.51667,-13.31267,408,50,24,24.21303,138,75,138,83,2271,2271,0
89.47917,51.60417,-5.7685,11.40233,26.48749,1223.51,16.336,-26.712,43.048,9.064,-18.71533,9.064,-20.77933,462,86,9,63.56672,223,35,223,49,3545,3545,0
96.10417,51.60417,-5.747667,13.09467,24.62144,1540.756,19.74,-33.444,53.184,11.956,-21.99067,11.956,-25.68867,332,80,5,87.63743,197,19,197,23,2705,2705,0
73.27083,51.5625,2.655667,10.556,22.93387,1329.094,26.496,-19.532,46.028,16.838,-6.267333,18.55,-13.71133,308,47,13,37.06567,116,46,115,55,3185,3185,0
83.6875,51.5625,1.438667,12.91,30.14665,1154.892,23.608,-19.216,42.824,13.682,-11.54067,15.31333,-12.46067,604,86,21,42.78732,228,68,226,81,2746,2746,0
52.89583,51.52083,5.104167,10.14767,22.76078,1297.616,28.224,-16.36,44.584,20.48067,-3.421333,20.48067,-10.89333,332,40,18,23.0114,103,59,103,73,2973,2973,0
55.3125,51.52083,4.797167,10.83767,23.16929,1366.91,29.2,-17.576,46.776,21.03133,-4.191333,21.03133,-12.14867,351,39,20,21.10272,106,63,106,85,2378,2378,0
101.3958,51.52083,-5.288333,14.37267,30.46864,1251.345,17.904,-29.268,47.172,9.775333,-20.81133,9.775333,-20.81133,406,117,2,114.0261,282,8,282,8,2373,2373,0
60.14583,51.47917,1.935833,11.515,24.04368,1387.533,26.46,-21.432,47.892,18.254,-14.30667,18.254,-15.30533,318,46,16,33.59725,118,51,118,57,4191,4191,0
55.97917,51.4375,4.749333,11.46467,24.04704,1377.078,29.3,-18.376,47.676,21.114,-4.410666,21.114,-12.232,375,40,22,19.30217,110,70,110,92,3032,3032,0
84.27083,51.4375,1.055833,12.64767,31.45247,1049.997,22.104,-18.108,40.212,12.15933,-10.76133,13.93333,-11.29467,619,94,19,51.17362,252,59,252,69,3621,3621,0
93.4375,51.4375,-3.193167,14.46767,24.65687,1680.475,24.788,-33.888,58.676,15.696,-21.05,15.696,-25.39867,389,79,8,71.18808,204,29,204,37,2933,2933,0
124.7708,51.4375,-2.932167,14.64367,25.67083,1599.333,24.22,-32.824,57.044,15.864,-23.29933,15.864,-23.29933,530,139,4,103.67,341,16,341,16,3302,3302,0
119.2292,51.39583,-3.420167,13.08167,23.54003,1614.439,23.212,-32.36,55.572,15.26067,-24.42333,15.26067,-24.42333,438,121,3,109.3215,296,13,296,13,4285,4285,0
134.6458,51.39583,-4.298167,14.65967,26.50743,1505.924,22.916,-32.388,55.304,13.878,-23.19333,13.878,-23.19333,746,165,6,90.01838,424,26,424,26,3482,3482,0
61.77083,51.35417,2.598333,11.24933,23.08029,1440.348,27.544,-21.196,48.74,19.53867,-14.20133,19.53867,-15.24733,286,37,12,30.85125,100,42,100,53,2997,2997,0
73.85417,51.35417,2.733,11.06733,23.31732,1365.632,27.152,-20.312,47.464,17.29867,-13.00333,18.95667,-14.23067,310,47,11,38.82134,118,44,118,53,4150,4150,0
121.0625,51.35417,-4.0065,14.52367,25.80242,1580.482,22.872,-33.416,56.288,14.55533,-24.29933,14.55533,-24.29933,473,131,3,111.4599,323,11,323,11,2659,2659,0
142.7708,51.35417,-1.104167,9.537,21.65138,1264.213,19.444,-24.604,44.048,9.400666,-15.34267,13.484,-17.38533,697,103,31,43.71743,292,98,201,114,3647,3647,0
59.52083,51.3125,2.797833,11.35233,23.79146,1397.971,27.256,-20.46,47.716,19.212,-13.51667,19.212,-14.648,316,45,16,32.09721,116,52,116,59,2425,2425,0
86.3125,51.3125,-0.7379999,11.184,29.76051,1013.954,18.976,-18.604,37.58,11.618,-11.642,11.618,-13.21,616,100,14,62.96162,284,44,284,52,3479,3479,0
53.35417,51.27083,5.428833,10.50167,22.68375,1345.68,29.788,-16.508,46.296,21.55467,-3.53,21.55467,-11.04867,313,38,17,23.69249,98,55,98,71,3584,3584,0
94.8125,51.27083,-2.029333,12.106,21.00861,1751.958,25.844,-31.78,57.624,17.48733,-21.046,17.48733,-25.186,265,60,5,82.10207,153,18,153,24,2881,2881,0
109.6875,51.22917,-3.375667,15.70133,28.92869,1414.624,22.4,-31.876,54.276,13.49467,-18.46667,13.49467,-21.50133,369,97,3,105.3215,244,12,244,15,2952,2952,0
137.3542,51.22917,-1.462167,12.38567,22.21883,1612.233,24.644,-31.1,55.744,15.474,-22.46533,17.28,-22.46533,533,99,9,71.36897,268,36,257,36,2863,2863,0
138.2708,51.22917,-2.127333,11.75267,21.87927,1562.959,23.732,-29.984,53.716,14.66867,-19.082,16.30333,-22.12133,583,106,13,66.33178,279,46,272,48,4192,4192,0
76.8125,51.1875,3.930333,11.62867,24.18004,1392.878,28.892,-19.2,48.092,20.51067,-4.868667,20.51067,-13.38733,277,48,8,45.19032,113,37,113,47,3488,3488,0
99.6875,51.1875,-7.250834,13.33567,24.03516,1636.235,19.428,-36.056,55.484,11.35067,-28.69733,11.35067,-28.69733,275,84,1,116.862,196,5,196,5,3182,3182,0
113.8125,51.1875,-2.142167,14.36033,27.7548,1385.948,22.676,-29.064,51.74,14.46267,-19.75467,14.46267,-19.75467,378,115,2,117.9601,267,7,267,7,2231,2231,0
76.27083,51.14583,4.167667,11.71,24.43044,1382.717,28.836,-19.096,47.932,20.58867,-11.48667,20.58867,-13.12933,272,47,9,44.43778,111,38,111,45,2322,2322,0
91.89583,51.14583,-3.432833,11.99433,22.67703,1568.04,21.764,-31.128,52.892,14.292,-20.33,14.292,-23.902,317,73,6,80.65595,180,20,180,28,4088,4088,0
96.9375,51.14583,-4.884,13.04467,24.60701,1514.736,20.292,-32.72,53.012,12.53,-20.49133,12.53,-24.676,264,71,2,101.0173,172,9,172,13,2482,2482,0
131.1875,51.14583,-4.2695,16.153,25.03565,1800.938,25.868,-38.652,64.52,16.32267,-27.73533,16.32267,-27.73533,687,149,7,90.24684,399,27,399,27,3635,3635,0
143.5208,51.14583,-1.5995,9.262334,24.05301,1073.219,16.752,-21.756,38.508,8.446667,-14.02,11.34333,-15.19733,733,99,34,38.39728,291,111,258,119,3031,3031,0
82.64583,51.10417,2.160833,11.70367,27.52768,1162.258,24.356,-18.16,42.516,14.51,-11.03667,16.222,-11.84667,604,76,27,27.80307,197,93,191,112,2420,2420,0
92.60417,51.10417,-8.005333,11.856,25.53191,1320.873,15.096,-31.34,46.436,7.843333,-22.322,7.843333,-24.47867,517,104,11,67.90469,259,39,259,45,3743,3743,0
103.1042,51.10417,-5.84,13.334,29.04505,1239.88,16.444,-29.464,45.908,9.222,-21.26933,9.222,-21.26933,827,198,12,87.2509,471,43,471,43,3246,3246,0
90.4375,51.0625,-1.5815,13.07367,22.6329,1741.063,25.584,-32.18,57.764,17.84267,-9.905334,17.84267,-24.51533,233,59,2,87.42944,140,13,140,23,3945,3945,0
94.39583,51.0625,-3.958667,10.91,23.34988,1373.657,19.1,-27.624,46.724,12.01267,-18.68133,12.01267,-21.53467,392,81,7,74.22321,208,28,208,30,2288,2288,0
95.3125,51.0625,-3.154833,13.027,22.4557,1735.208,24.248,-33.764,58.012,16.15667,-22.098,16.15667,-26.164,256,62,4,88.43262,154,15,154,19,4091,4091,0
124.0208,51.0625,-2.631833,14.63633,26.27331,1548.561,23.804,-31.904,55.708,15.626,-22.27133,15.626,-22.27133,525,143,3,107.5632,346,12,346,12,3077,3077,0
56.47917,51.02083,4.616667,12.20867,25.02596,1395.096,29.404,-19.38,48.784,21.336,-4.966667,21.336,-12.32933,369,40,22,18.17393,108,72,108,89,4354,4354,0
61.72917,51.02083,2.811167,11.16167,22.64949,1453.771,28.08,-21.2,49.28,19.95,-14.19867,19.95,-15.276,261,33,12,28.24683,90,41,90,51,3774,3774,0
75.85417,51.02083,4.355667,11.67267,24.61965,1359.62,28.764,-18.648,47.412,20.52267,-11.01067,20.52267,-12.66333,278,47,9,44.17514,112,38,112,45,2625,2625,0
111.1875,51.02083,-2.938,14.97867,29.38837,1344.296,21.816,-29.152,50.968,13.31867,-19.84867,13.31867,-19.84867,395,108,4,108.0131,265,14,265,14,3537,3537,0
129.2292,51.02083,-1.5295,13.021,21.95784,1752.073,25.98,-33.32,59.3,18.536,-24.44533,18.536,-24.44533,581,130,5,92.25227,341,22,341,22,4288,4288,0
88.47917,50.97917,-6.386,11.89867,26.81329,1248.557,16.16,-28.216,44.376,8.628,-19.71933,8.628,-21.93267,425,77,9,65.56454,205,29,205,38,2752,2752,0
101.6875,50.97917,-4.754,14.63133,29.39199,1342.779,18.784,-30.996,49.78,10.918,-22.01133,10.918,-22.01133,429,122,3,110.5075,292,11,292,11,2205,2205,0
79.22917,50.9375,3.500833,12.15833,24.90237,1410.061,28.78,-20.044,48.824,20.20333,-12.65,20.20333,-14.02733,288,49,12,40.14519,112,45,112,52,3462,3462,0
123.8542,50.9375,-2.698833,14.92633,26.70758,1538.751,23.716,-32.172,55.888,15.43667,-22.22067,15.43667,-22.22067,527,145,3,108.5441,349,12,349,12,3897,3897,0
63.52083,50.89583,3.141167,11.06633,22.27344,1478.48,28.816,-20.868,49.684,20.61667,-14.042,20.61667,-15.07333,255,29,10,27.24574,83,37,83,49,2683,2683,0
76.22917,50.89583,4.483,11.97467,25.26727,1355.176,28.988,-18.404,47.392,20.64667,-10.76467,20.64667,-12.39533,278,47,9,44.52612,113,38,113,45,3524,3524,0
97.97917,50.89583,-5.615334,13.444,26.24551,1429.417,19.0,-32.224,51.224,11.07267,-20.292,11.07267,-24.10667,279,77,2,103.6853,184,9,184,10,3601,3601,0
128.8958,50.85417,-0.9678334,12.26367,20.93919,1752.378,26.264,-32.304,58.568,19.058,-19.34133,19.058,-24.00533,560,128,5,93.88214,336,21,336,21,2409,2409,0
106.7292,50.8125,-0.8030001,13.136,23.45044,1601.142,25.632,-30.384,56.016,17.79,-17.82133,17.79,-22.02667,314,86,3,106.8792,211,11,211,15,3405,3405,0
90.47917,50.77083,-2.125667,12.25,24.47064,1467.312,21.644,-28.416,50.06,14.634,-17.926,14.634,-21.096,207,56,2,93.08107,130,12,130,19,4340,4340,0
95.5625,50.77083,-5.101666,12.024,23.95792,1490.011,19.228,-30.96,50.188,12.15533,-21.358,12.15533,-24.182,313,73,5,82.8092,179,20,179,22,3692,3692,0
78.6875,50.72917,3.949333,12.266,25.05925,1401.805,29.332,-19.616,48.948,19.01267,-12.01933,20.63867,-13.50067,278,46,11,39.09029,107,43,106,51,3962,3962,0
87.10417,50.72917,-3.594167,10.40033,27.19753,1071.248,16.248,-21.992,38.24,9.438,-15.02333,9.438,-16.80467,527,88,11,64.15765,246,36,246,43,4307,4307,0
95.22917,50.72917,-6.008,11.67467,23.6751,1464.861,18.092,-31.22,49.312,11.034,-24.66067,11.034,-24.66067,358,79,6,77.71284,196,25,196,25,3766,3766,0
115.0625,50.72917,-0.9056665,13.18133,24.28038,1544.158,24.936,-29.352,54.288,17.36533,-17.61133,17.36533,-20.846,326,104,2,121.4089,236,7,236,8,2611,2611,0
119.8542,50.72917,-3.386167,13.659,23.66424,1702.408,23.604,-34.116,57.72,16.11267,-21.77667,16.11267,-25.82333,416,120,3,115.665,292,10,292,11,4245,4245,0
52.35417,50.6875,5.923333,11.14133,23.8552,1337.404,30.348,-16.356,46.704,21.90667,-2.926,21.90667,-10.57,286,33,15,21.70787,87,51,87,67,2437,2437,0
67.9375,50.6875,2.8045,12.017,23.7003,1452.502,28.94,-21.764,50.704,18.238,-6.919333,19.94133,-15.17733,248,32,12,25.1515,83,44,82,55,4347,4347,0
103.8542,50.6875,-3.7095,13.567,29.56546,1233.852,18.184,-27.704,45.888,11.10867,-19.258,11.10867,-19.258,712,178,10,93.25076,427,35,427,35,3974,3974,0
105.8958,50.6875,-0.381,12.706,24.17612,1488.028,24.528,-28.028,52.556,17.01467,-16.18867,17.01467,-19.94467,391,102,5,99.445,248,19,248,20,3995,3995,0
109.0625,50.6875,-2.771333,14.634,28.45974,1361.656,21.828,-29.592,51.42,13.506,-17.286,13.506,-20.156,365,100,3,110.1584,249,11,249,13,4020,4020,0
112.2292,50.6875,-2.137667,13.85333,27.9121,1335.382,22.008,-27.624,49.632,13.992,-18.95533,13.992,-18.95533,395,117,2,117.1391,276,8,276,8,4356,4356,0
122.5208,50.6875,-3.622167,15.425,27.57813,1526.712,22.868,-33.064,55.932,14.35933,-23.01,14.35933,-23.01,522,149,3,112.0998,356,12,356,12,3504,3504,0
125.6458,50.6875,-1.692833,13.87567,24.6005,1607.475,24.72,-31.684,56.404,17.002,-22.36533,17.002,-22.36533,525,138,4,104.2933,337,15,337,15,4341,4341,0
132.2708,50.6875,-3.533833,13.46033,22.03145,1759.6,25.256,-35.84,61.096,16.45867,-26.60667,16.45867,-26.60667,693,157,6,94.35859,411,22,411,22,2325,2325,0
57.47917,50.64583,4.069833,11.48233,24.12255,1380.149,29.02,-18.58,47.6,18.73533,-11.88,20.50933,-12.89733,349,39,21,17.03586,105,68,104,78,3382,3382,0
105.8958,50.64583,-0.1120001,12.87933,24.1186,1513.954,25.092,-28.308,53.4,17.50533,-16.18,17.50533,-20.104,374,98,4,100.8749,240,17,240,19,2490,2490,0
121.4792,50.64583,-4.370667,15.15667,26.56641,1580.637,22.528,-34.524,57.052,14.086,-24.69,14.086,-24.69,488,141,2,115.2833,341,9,341,9,2866,2866,0
130.4792,50.64583,-2.379333,15.23267,24.72193,1736.647,26.164,-35.452,61.616,17.51933,-25.03333,17.51933,-25.03333,639,140,6,92.06908,375,24,375,24,2575,2575,0
116.3542,50.60417,-2.168167,13.983,24.33688,1635.013,24.56,-32.896,57.456,16.846,-19.83,16.846,-23.54733,305,94,2,119.2547,218,7,218,8,2914,2914,0
60.5625,50.5625,2.955167,11.38367,23.31381,1444.064,27.92,-20.908,48.828,18.32733,-14.012,19.99067,-14.928,285,35,15,26.47369,96,48,95,55,2890,2890,0
88.6875,50.5625,-5.058833,12.303,27.01106,1290.593,17.444,-28.104,45.548,10.05333,-18.98,10.05333,-21.38533,289,62,4,79.28825,160,14,160,20,2606,2606,0
104.9375,50.5625,-0.7411668,13.56433,25.76615,1486.344,24.172,-28.472,52.644,16.49067,-16.48133,16.49067,-20.27667,425,112,5,102.2606,274,19,274,20,3295,3295,0
75.8125,50.52083,3.583667,11.78,25.65778,1292.014,27.504,-18.408,45.912,17.64333,-10.99933,19.05933,-12.334,292,49,11,45.61135,119,38,119,42,3997,3997,0
79.52083,50.52083,3.850667,12.38533,25.18163,1408.774,29.288,-19.896,49.184,18.90333,-12.276,20.54733,-13.688,282,47,12,38.38787,107,45,106,52,3240,3240,0
87.9375,50.52083,-4.2005,12.36233,27.26103,1280.0,18.428,-26.92,45.348,10.754,-17.84267,10.754,-20.49533,356,70,6,74.12925,186,20,186,27,3563,3563,0
107.1042,50.52083,-1.192833,13.29833,23.43732,1623.266,25.676,-31.064,56.74,17.606,-18.44467,17.606,-22.78133,312,87,3,110.5485,215,10,215,12,4093,4093,0
85.6875,50.47917,-4.722666,9.346666,26.69256,975.895,14.272,-20.744,35.016,7.63,-15.448,7.63,-16.08933,646,99,15,58.38888,280,49,280,57,3176,3176,0
102.6875,50.47917,-4.880167,15.50633,30.01148,1384.916,18.82,-32.848,51.668,11.11267,-22.90467,11.11267,-22.90467,544,147,6,103.4881,353,21,353,21,3494,3494,0
110.8958,50.47917,-3.020667,15.09733,29.60029,1339.281,21.604,-29.4,51.004,13.10733,-17.07133,13.10733,-19.96733,414,113,3,107.6906,276,13,276,13,2782,2782,0
123.4375,50.47917,-2.365167,14.67233,26.78606,1512.488,23.66,-31.116,54.776,15.494,-21.51467,15.494,-21.51467,526,150,3,111.9283,357,12,357,12,3110,3110,0
130.4792,50.47917,-2.1255,15.26367,24.55703,1759.868,26.516,-35.64,62.156,17.932,-20.268,17.932,-25.23067,624,136,6,92.14954,367,23,367,24,2398,2398,0
